Index,Text ID,original-text,gold-text,
125,2020_lrec_1_736,"Transfers of person in which the signer impersonates the character that/IN <<< he/she >>> is talking about ( Sallandre and Cuxac , 2001 ) are numerous in such descriptions as the signer will naturally imitate the animal he is describing .","Transfers of person in which the signer impersonates the character that they are talking about (Sallandre and Cuxac, 2001) are numerous in such descriptions as the signer will naturally imitate the animal he is describing.",
126,5051906,The emphasise of the book is for the practitioner to observe himself/herself and see how <<< he/she >>> can augment the benefits of the poses.,The emphasis of the book is for the practitioner to observe themself and see how they can augment the benefits of the poses.,
127,L16_1224,"Due to organisatory reasons five teachers explained the task to a ' knowing ' learner , who was already acquainted with the task but instructed to act as if <<< he/she >>> did not know the task . ","Due to organisatory reasons five teachers explained the task to a 'knowing' learner, who was already acquainted with the task but instructed to act as if they did not know the task.",
128,R11_1106,"So , the user may benefit from an outline of all the subjects evoked in a mass of documents , and easily find the information <<< he/she >>> is looking for .","So, the user may benefit from an outline of all the subjects evoked in a mass of documents, and easily find the information they are looking for.",
129,5062406,You may find it helpful to suggest a local health center where <<< he/she >>> can talk to someone about protection.,You may find it helpful to suggest a local health center where they can talk to someone about protection.,
130,4010137,"Each participant will have an opportunity to explore and express attitudes , feelings and values important to the individual , the family group , and community <<< he/she >>> represents ","Each participant will have an opportunity to explore and express attitudes, feelings, and values important to the individual, the family group, and community they represent.",
131,5180523,You shouldn't be able to influence a news channel to fire a journalist because you disagree with what <<< he/she >>> says.,You shouldn't be able to influence a news channel to fire a journalist because you disagree with what they say.,
132,5126231,"Very tangentially, I have often observed that when people are confronted with a selfish, cruel, arrogant person who on occassion does something kind or loving, they say of him/her: blah, blah, blah, but deep down inside <<< he/she >>> is a teddy bear.","Very tangentially, I have often observed that when people are confronted with a selfish, cruel, arrogant person who on occassion does something kind or loving, they say of them: blah, blah, blah, but deep down inside they are a teddy bear.",
133,2020_smm4h_1_32,Class 1 tweets refer to the user ' s child and indicate that/IN <<< he/she >>> has a birth defect .,Class 1 tweets refer to the user's child and indicate that they have a birth defect.,
134,5139152,To me a geek is someone who studies the technologies <<< he/she >>> loves in depth.,To me a geek is someone who studies the technologies they love in depth.,
135,W00_1012,"The tactic of enticement consists in increasing B ' s wish to do D ; the tactic of persuasion consists in increasing B ' s belief of the usefulness of D for him/her , and the tactic of threatening consists in increasing B ' s understanding that/IN <<< he/she >>> must do D.","The tactic of enticement consists in increasing B's wish to do D; the tactic of persuasion consists in increasing B's belief of the usefulness of D for them, and the tactic of threatening consists in increasing B's understanding that they must do D.",
136,5057146,Informed written consent was obtained from all participants (directly from the subject if <<< he/she >>> was an adult or from the parent/guardian if otherwise).,Informed written consent was obtained from all participants (directly from the subject if they were an adult or from the parent/guardian if otherwise).,
137,C98_2158,"Although that person is 82 years old , ( <<< he/she >>> ) is full of curiosity . ","Although that person is 82 years old, they are full of curiosity.",
138,5051144,A character tries to act more enthusiastic than <<< he/she >>> is.,A character tries to act more enthusiastic than they are.,
139,5204107,"Any sick days remaining in an employee's sick days bank will be lost (or more properly stolen, even the cash out allowance has been thrown overboard) when <<< he/she >>> files for retirement.","Any sick days remaining in an employee's sick days bank will be lost (or more properly stolen, even the cash out allowance has been thrown overboard) when they file for retirement.",
140,2021_sdp_1_11,These bullet points serve both as a reminder to the speaker ( when <<< he/she >>> is presenting ) and summaries for audiences to understand .,These bullet points serve both as a reminder to the speaker (when they are presenting) and summaries for audiences to understand.,
141,Y15_1053,There are two types of data that describe a user : his/her profile and the microblogs <<< he/she >>> posts .,There are two types of data that describe a user: their profile and the microblogs they post.,
142,W13_4046," A forum user can give a post "" "" kudos "" "" if <<< he/she >>> finds it useful or relevant to the topic being addressed in a forum conversation .","A forum user can give a post ""kudos"" if they find it useful or relevant to the topic being addressed in a forum conversation.",
143,5053007,If you take the deduction and the individual does not file an income tax form <<< he/she >>> does not get the $ back.,"If you take the deduction and the individual does not file an income tax form, they do not get the $ back.",
144,5199817,"When someone goes to fishing , <<< he/she >>> could not catch only big fishes by his/her net.","When someone goes fishing, they could not catch only big fish by their net.",
145,5255690,"Unfortunately , <<< he/she >>> immediately takes the MSM story as the basis for judging.","Unfortunately, they immediately takes the MSM story as the basis for judging.",
146,5034829,"But wait , <<< he/she >>> would NEVER denigrate anybody.","But wait, they would NEVER denigrate anybody.",
147,5199567,He starts to think that/IN maybe his whole existance is nothing more and that maybe every character ever created believes <<< he/she >>> is alive.,He starts to think that maybe his whole existence is nothing more and that maybe every character ever created believes they are alive.,
148,4002961,It robs the colonized from knowing who <<< he/she >>> is .,It robs the colonized from knowing who they are.,
149,4021594,"Trends in the development of mortality over the respective time period year and the sum of person-years of the cohort members followed in a given year , i.e. , every cohort member contributed to the sum of the person-years with one year or less in case <<< he/she >>> was hospitalized or died in the given year .","Trends in the development of mortality over the respective time period year and the sum of person-years of the cohort members followed in a given year, i.e., every cohort member contributed to the sum of the person-years with one year or less in case they were hospitalized or died in the given year .",
150,4020699,"In the end , before <<< he/she >>> retired or was arrested , the healer extorted thousands of dollars from the poor."," In the end, before they retired or were arrested, the healer extorted thousands of dollars from the poor.",
151,L16_1322,"The dataset also captures whether the post is made by an registered user or not , and whether <<< he/she >>> was an administrator at the time of making the post .","The dataset also captures whether the post is made by a registered user or not, and whether they were an administrator at the time of making the post.",
152,W01_1202,This function helps the user get out of the trouble that/IN the user might experience when <<< he/she >>> looks through the whole document in order to find the answer phrase .,This function helps the user get out of the trouble that the user might experience when they look through the whole document in order to find the answer phrase.,
153,2013_tc_1_1,"One of the respondents added that/IN <<< he/she >>> thought that/IN "" "" [ it ] was very useful in helping us select which software to purchase for our future careers . ""","One of the respondents added that they thought that ""[it] was very useful in helping us select which software to purchase for our future careers.""",
154,5085553,"That does NOT mean that he/she is free to ""do whatever <<< he/she >>> wants"" with no oversight.","That does NOT mean that they are free to ""do whatever they want"" with no oversight.",
155,4158192,"Additionally , a significantly positive change was found in the experimental preservice participants ' views that/IN it would help the student who stutters if <<< he/she >>> "" discusses his/her feelings about stuttering openly with classmates "" ( p &lt; .0001 ) . ","Additionally, a significantly positive change was found in the experimental preservice participants' views that it would help the student who stutters if they ""discuss their feelings about stuttering openly with classmates"" (p&lt;.0001). ",
156,4135760,"If one reads the whole Second Amendment to the U.S. Constitution, <<< he/she >>> will see that it carries Those who bear arms shall form a well-ordered militia to tend to the security of the state.","If one reads the whole Second Amendment to the U.S. Constitution, they will see that it carries ""Those who bear arms shall form a well-ordered militia to tend to the security of the state.""",
157,5253234,The one who would have every reason to hate the Jedi AND the Sith for what they did if <<< he/she >>> were still alive?,The one who would have every reason to hate the Jedi AND the Sith for what they did if they were still alive?,
158,2020_ai4hi_1_3,"In practical terms , this means that/IN a painter in the mainstream is inspired by the work of those who had gone before him/her but the artist is not conscious that/IN <<< he/she >>> is "" "" imitating "" "" another work of art .","In practical terms, this means that a painter in the mainstream is inspired by the work of those who had gone before them but the artist is not conscious that they are ""imitating"" another work of art.",
159,C12_1024,Likewise disagreement can act as a way of undermining or challenging Agreement Statements that/IN a group member makes to indicate that/IN <<< he/she >>> shares the same view about something another member has said or done . ,Likewise disagreement can act as a way of undermining or challenging Agreement Statements that a group member makes to indicate that they share the same view about something another member has said or done.,
160,2020_wnut_1_69, Any person with a social media account can post or share information instantly at the moment <<< he/she >>> witness a noteworthy event . ,Any person with a social media account can post or share information instantly at the moment they witness a noteworthy event.,
161,W19_8603," In these contexts , the speaker envisages some personal intention for which it is important to convey to the listener which object <<< he/she >>> refers to .","In these contexts, the speaker envisages some personal intention for which it is important to convey to the listener which object they refer to.",
162,2020_acl_main_115,"Meta-linguistic awareness is especially useful ( and often improved ) in the process of learning a new language , as it allows the learner to compare and contrast the structure and characteristics of the new language to those that/IN <<< he/she >>> is already familiar with .","Meta-linguistic awareness is especially useful (and often improved) in the process of learning a new language, as it allows the learner to compare and contrast the structure and characteristics of the new language to those that they are already familiar with.",
163,4010182,In this way the teacher has met the child where <<< he/she >>> is and carries the child where he/she needs to go without making the child feel ashame or embrassed .,In this way the teacher has met the child where they are and carries the child where they need to go without making the child feel ashamed or embrassed.,
164,W14_5119," A set of 10 combinations of verbs and nouns are displayed for the learner , where he/she is required to listen to the four options of the audio and select the right audio combination of noun and verb .","A set of 10 combinations of verbs and nouns are displayed for the learner, where they are required to listen to the four options of the audio and select the right audio combination of noun and verb.",
165,5068784,I try to explain my point of view : let 's suppose that/IN there 's a designer whose duty is only graphics and <<< he/she >>> has to pass his/her design to a developer whose duty is only to code it.,I try to explain my point of view: let's suppose that there's a designer whose duty is only graphics and they have to pass their design to a developer whose duty is only to code it.,
166,5093638,On Tuesday <<< he/she >>> may be assigned to a regional group meeting all day (one three-hour meeting in the morning and another three-hour meeting in the afternoon).,On Tuesday they may be assigned to a regional group meeting all day (one three-hour meeting in the morning and another three-hour meeting in the afternoon).,
167,5166435,Stay with your baby when <<< he/she >>> is eating or drinking.,Stay with your baby when they are eating or drinking.,
168,P03_1033,"For example , when a user says nothing , the appropriate response should be different whether <<< he/she >>> is not accustomed to using the spoken dialogue systems or he/she does not know much about the target domain .","For example, when a user says nothing, the appropriate response should be different whether they are not accustomed to using the spoken dialogue systems or they do not know much about the target domain.",
169,5126908,"SK didn't say America didn't have culture, <<< he/she >>> said the culture is trashy (which it is).","SK didn't say America didn't have culture, they said the culture is trashy (which it is).",
170,5036904,Of course the IRS is entitled to reject an alien who appears to enter the US without a work visa if <<< he/she >>> receives payment from a US source for a work done in the US.,Of course the IRS is entitled to reject an alien who appears to enter the US without a work visa if they receive payment from a US source for a work done in the US.,
171,2000_amta_workshop_3,"If the learner does not know the meaning of a synonym , <<< he/she >>> can ask the MT program for help as all the verbs of the list of synonyms are stored in the electronic dictionary .","If the learner does not know the meaning of a synonym, they can ask the MT program for help as all the verbs of the list of synonyms are stored in the electronic dictionary.",
172,5120896,He/she is access them during this lifetime but <<< he/she >>> can emulate and mimic these higher characteristics quite well and even distract you from evolving by sapping your energy and feeding off it.,They access them during this lifetime but they can emulate and mimic these higher characteristics quite well and even distract you from evolving by sapping your energy and feeding off it.,
173,4007169,"If a respondent described the extradyadic relationship as casual ( casual EDI ) , then <<< he/she >>> should be less likely to endorse close and loving feelings for the extradyadic partner ( close EDI ) , and the respondent should also be less likely to report obsessive feelings for the extradyadic partner ( obsessive EDI ) .","If a respondent described the extradyadic relationship as casual (casual EDI), then they should be less likely to endorse close and loving feelings for the extradyadic partner (close EDI), and the respondent should also be less likely to report obsessive feelings for the extradyadic partner (obsessive EDI).",
174,3067309,"When a new president takes office, all the U.S. attorneys are asked to step down, so that the new president can install the people <<< he/she >>> wants.","When a new president takes office, all the U.S. attorneys are asked to step down, so that the new president can install the people they want.",
175,4004946,"The cover letter explained how <<< he/she >>> was chosen for the study , the purpose of the study , and directions for completing the questionnaire .","The cover letter explained how they were chosen for the study, the purpose of the study, and directions for completing the questionnaire.",
176,5173674,"If the infant is being formula fed <<< he/she >>> should receive 1,000 IU of vitamin D daily for maintenance.","If the infant is being formula fed they should receive 1,000 IU of vitamin D daily for maintenance.",
177,5118135,"I was in two board-breaking events, where each participant picks how many boards <<< he/she >>> will break, not knowing how many other competitors have chosen.","I was in two board-breaking events, where each participant picks how many boards they will break, not knowing how many other competitors have chosen.",
178,5129673,It won't matter to him/her that you disagree...it only matters that/IN <<< he/she >>> is the one that stands between you and those who wish to silence you.,It won't matter to them that you disagree...it only matters that they are the one that stands between you and those who wish to silence you.,
179,C04_1116,"For instance , while the call taker B in Table 1 mostly uses "" "" cust "" "" , <<< he/she >>> also uses other expressions to a considerable degree .","For instance, while the call taker B in Table 1 mostly uses ""cust"", they also use other expressions to a considerable degree.",
180,5255498,This is a deeply disturbed personality that seethes with hatred at your universal approval and popularity as <<< he/she >>> sits sipping at a glass of room temperature vinegar and water.,This is a deeply disturbed personality that seethes with hatred at your universal approval and popularity as they sit sipping at a glass of room temperature vinegar and water.,
181,W17_7555,"A character , being a protagonist , is commonly on the good side while the antagonist is the one <<< he/she >>> fights or has conflicts within the story .","A character, being a protagonist, is commonly on the good side while the antagonist is the one they fight or have conflicts with in the story.",
182,Y13_1035," In one sense , the speaker is aware of what <<< he/she >>> says is opposite to what is intended to mean .","In one sense, the speaker is aware of what they say is opposite to what it is intended to mean.",
183,2021_konvens_1_20,"Only if <<< he/she >>> is in favor of education , the answer can be understood as an approval : education must be one of his/her values .","Only if they are in favor of education, the answer can be understood as an approval: education must be one of their values.",
184,5133738,Call 911 if you believe <<< he/she >>> has plans to hurt himself/herself or others.,Call 911 if you believe they have plans to hurt themselves or others.,
185,5112358,"Although addressing these concerns during early childhood leads to improved outcomes, the emphasis on functional communication can and should be addressed anytime a person is not able to appropriately ask for what <<< he/she >>> needs.","Although addressing these concerns during early childhood leads to improved outcomes, the emphasis on functional communication can and should be addressed any time a person is not able to appropriately ask for what they need.",
186,W16_3640," On the other hand , when one dialogue participant has his/her own answer for a question , <<< he/she >>> will likely not borrow the words from the partner .","On the other hand, when one dialogue participant has their own answer for a question, they will likely not borrow the words from the partner.",
187,5150781,Anyone who goes to a concert or djset or anything else for what ever else than the music can ask for what ever <<< he/she >>> wants.,Anyone who goes to a concert or djset or anything else for whatever else than the music can ask for what ever they want.,
188,L18_1338,The user performs different actions defined by visual instructions and verbally describes what <<< he/she >>> is doing .,The user performs different actions defined by visual instructions and verbally describes what they are doing.,
189,5043038,"However , if a Global Entry member wants to use the NEXUS program for entry into Canada , then <<< he/she >>> would have to apply for NEXUS and pay the appropriate fee.","However, if a Global Entry member wants to use the NEXUS program for entry into Canada, then they would have to apply for NEXUS and pay the appropriate fee.",
190,5063269,This list is a gross over simplification of a person's ill attempt to pretend <<< he/she >>> understands what any of these authors had to write about and the people who enjoyed the reading.,This list is a gross oversimplification of a person's ill attempt to pretend they understand what any of these authors had to write about and the people who enjoyed the reading.,
191,5122631,"Even soft-hearted Granny C has forced a screaming, fighting small grandbaby into a car seat and straps that <<< he/she >>> very much did not want to be in.","Even soft-hearted Granny C has forced a screaming, fighting small grandbaby into a car seat and straps that they very much did not want to be in.",
192,5031210,We assume you do n't want to just give the pet away without checking up that <<< he/she >>> is going to a good responsible home.,We assume you don't want to just give the pet away without checking up that they are going to a good responsible home.,
193,L16_1623,"We can often detect from a person ' s utterances whether <<< he/she >>> is in favor of or against a given target entity ( a product , topic , another person , etc. ) .","We can often detect from a person's utterances whether they are in favor of or against a given target entity (a product, topic, another person, etc.).",
194,N19_4012,"Then , <<< he/she >>> can write content of an article in the corresponding text-area ( step 2 ) without specifying it ' s headline and highlights , i. e. , summary .","Then, they can write content of an article in the corresponding text-area (step 2) without specifying its headline and highlights, i.e., summary.",
195,2015_mtsummit_users_19,"If a translator finds that/IN the pushed translation is wrong or problematic , then <<< he/she >>> can also tell its original translator or discuss with him/her to find out the best decision .","If a translator finds that the pushed translation is wrong or problematic, then they can also tell its original translator or discuss with them to find out the best decision.",
196,P82_1036,Of most interest to us are the cases where the error is due to a language user attempting to use a standard language construction that/IN <<< he/she >>> does not natively command .,Of most interest to us are the cases where the error is due to a language user attempting to use a standard language construction that they do not natively command.,
197,1987_tc_1_5,He wished to know how the translator would be compensated if <<< he/she >>> took over the typesetting function .,He wished to know how the translator would be compensated if they took over the typesetting function.,
198,5074794,"It is my experience that the typical office worker still has problems understanding RM, and in some cases, does not think <<< he/she >>> is ""responsible"" for records management.","It is my experience that the typical office worker still has problems understanding RM, and in some cases, does not think they are ""responsible"" for records management.",
199,5064526,"For me, it feels right to hold a door open for return, I think to myself that <<< he/she >>> have n't been taught properly.","For me, it feels right to hold a door open for return; I think to myself that they haven't been taught properly.",
200,5140562,Give the judge sometihng to work with and <<< he/she >>> will probably do-so.,Give the judge something to work with and they will probably do so.,
201,4024271,"Suspicion was further strengthened if a man or woman allegedly led an immoral lifestyle , i.e. , if he/she was having sexual relationships prior to or outside of marriage , living in town for some time , and particularly if <<< he/she >>> had earned money before falling sick .","Suspicion was further strengthened if a man or woman allegedly led an immoral lifestyle, i.e., if they were having sexual relationships prior to or outside of marriage, living in town for some time, and particularly if they had earned money before falling sick.",
202,2020_lrec_1_108,"When a user performs an entry search <<< he/she >>> will be presented with a link to the facsimile , given it is available , as a part of the search results .","When a user performs an entry search, they will be presented with a link to the facsimile, given it is available, as a part of the search results.",
203,2020_emnlp_main_67, The user can terminate the dialogue when <<< he/she >>> believes the task has been accomplished .,The user can terminate the dialogue when they believe the task has been accomplished.,
204,4004593,"Depending on the type of teacher preparation and student teaching program the individual was involved in , <<< he/she >>> may or may not have had the opportunity to carry out the full cycle of planning a series of lessons , implementing those lessions , assessing the students and then evaluating that total cycle.","Depending on the type of teacher preparation and student teaching program the individual was involved in, they may or may not have had the opportunity to carry out the full cycle of planning a series of lessons, implementing those lessions, assessing the students and then evaluating that total cycle.",
205,5080654,"If your spouse takes his/her retirement benefit early, <<< he/she >>> wo n't be able to delay taking a spousal benefit early, which means both her retirement and spousal benefits will be permanently reduced thanks to the early retirement benefit and early spousal benefit reduction factors.","If your spouse takes their retirement benefit early, they won't be able to delay taking a spousal benefit early, which means both their retirement and spousal benefits will be permanently reduced thanks to the early retirement benefit and early spousal benefit reduction factors.",
206,4009164,"Second , "" . . . a person understands any object , process , idea , or fact if <<< he/she >>> sees how it can be used to fulfill some purpose or goal . ""","Second, ""...a person understands any object, process, idea, or fact if they see how it can be used to fulfill some purpose or goal.""",
207,5050721,"If a player was tagged by a member of the opposite team while <<< he/she >>> was across the centre line , he/she also became a prisoner and was taken to the corner of the lot and put in prison.","If a player was tagged by a member of the opposite team while they were across the center line, they also became a prisoner and were taken to the corner of the lot and put in prison.",
208,L18_1076,"Thus , we first need to detect what <<< he/she >>> has difficulty with .","Thus, we first need to detect what they have difficulty with.",
209,W15_3001,"The user can only find reviews in German but <<< he/she >>> does not speak the language , so he/she uses an MT system to translate the reviews into English .","The user can only find reviews in German but they do not speak the language, so they use an MT system to translate the reviews into English.",
210,N19_1378,"Even in the case of an attribute like gender , which is crucial for the resolution of third person pronouns ( <<< he/she >>> ) , the models ' results are quite close to that of a random baseline .","Even in the case of an attribute like gender, which is crucial for the resolution of third person pronoun (they), the models' results are quite close to that of a random baseline .",
211,5171186,"On the Patriot Act and domestic spying, again the President adopted the Bush administration's positions and added some features even more extreme, more illegal, and more disrespectful of the innocent citizen's right to be left alone and to rest assured that <<< he/she >>> will not be the subject of arbitrary state policing powers similar to those of the secret police agencies in eastern Europe and Russia during the Soviet era.","On the Patriot Act and domestic spying, again the President adopted the Bush administration's positions and added some features even more extreme, more illegal, and more disrespectful of the innocent citizen's right to be left alone and to rest assured that they will not be the subject of arbitrary state policing powers similar to those of the secret police agencies in eastern Europe and Russia during the Soviet era.",
212,5071795,It will be easier for your friend to change his/her perspective if <<< he/she >>> first feels heard and understood.,It will be easier for your friend to change their perspective if they first feel heard and understood.,
213,R13_1065,"When <<< he/she >>> decided to express him/herself more indirectly , he/she used a combination with politeness marker ( F2 with F4 ) reinforcing the likelihood of request fulfilment , which is confirmed by the last couple of factors . ","When they decided to express themself more indirectly, they used a combination with politeness marker (F2 with F4) reinforcing the likelihood of request fulfilment, which is confirmed by the last couple of factors.",
214,W19_4434,The validator looks through the images and selects the ones which <<< he/she >>> thinks is appropriate considering the script and search term ( Figure 2 ) .,The validator looks through the images and selects the ones which they think is appropriate considering the script and search term (Figure 2).,
215,L18_1044,"Second , we introduced a confidence selection where the annotator could state how confident <<< he/she >>> was , in his/her annotation . ","Second, we introduced a confidence selection where the annotator could state how confident they were in their annotation.",
216,5168024,"And it is also the duty of every employee that <<< he/she >>> works safely, because any injury sustained is bored majorly by the employee-this may be a permanent disability or even death.","And it is also the duty of every employee that they work safely, because any injury sustained is bore majorly by the employee—this may be a permanent disability or even death.",
217,S16_1136,"If the answer is posted by the same user who posted the question and it is relevant , why has <<< he/she >>> asked the question in the first place ?","If the answer is posted by the same user who posted the question and it is relevant, why have they asked the question in the first place?",
218,5143030,"Every gadget enthusiast out there knows about the ""eternal"" battle between Apple and Samsung, whether <<< he/she >>> prefers Android, iOS, Windows Phone or BlackBerry.","Every gadget enthusiast out there knows about the ""eternal"" battle between Apple and Samsung, whether they prefer Android, iOS, Windows Phone or BlackBerry.",
219,P09_2005,A user who tries to say what <<< he/she >>> want to without considering system's suggestion . ,A user who tries to say what they want to without considering system's suggestion.,
220,5044409,"Student-athletes can not receive college scholarships becuase MANY schools do not have their coursess registered with the NCAA, which means even if an athlete is an ""A"" student and is one of the best athletes in NYC <<< he/she >>> can not receive a Division I college scholarship...why you ask, because no one at the DOE understands the process.","Student-athletes cannot receive college scholarships because MANY schools do not have their courses registered with the NCAA, which means even if an athlete is an ""A"" student and is one of the best athletes in NYC, they cannot receive a Division I college scholarship...why you ask, because no one at the DOE understands the process.",
221,F13_2012,"During this stage , the author ( speaker or writer ) has to select a word expressing the concept or idea <<< he/she >>> has in mind . ","During this stage, the author (speaker or writer) has to select a word expressing the concept or idea they have in mind.",
222,4157174,"For example , if the instructor were teaching the sample unit about natural disasters , <<< he/she >>> may choose to discuss information regarding volcanic eruptions , potential causes for tsunamis , or a lesson in which students identify and plot areas likely to encounter earthquakes .","For example, if the instructor were teaching the sample unit about natural disasters, they may choose to discuss information regarding volcanic eruptions, potential causes for tsunamis, or a lesson in which students identify and plot areas likely to encounter earthquakes.",
223,5061279,"All this to say that I'll only trust a linguist 's expect opinion on these matters;  and, even then, only if <<< he/she >>> explains just how ""relative differences"" (and ""consistency"" and such) are defined and measured.","All this to say that I'll only trust a linguist's expert opinion on these matters, and even then, only if they explain just how ""relative differences"" (and ""consistency"" and such) are defined and measured.",
224,5130901,It only takes one who is not given the care <<< he/she >>> needs to cause many a great deal of heartache among many.,It only takes one who is not given the care they need to cause many a great deal of heartache among many.,
225,2021_konvens_1_20,This again points out that/IN <<< he/she >>> is in favor of liberalization .,This again points out that they are in favor of liberalization.,
226,5104773,Aliens may also request asylum at the port of entry (POE) by informing an inspection officer that <<< he/she >>> is fleeing persecution or seeking asylum.,Aliens may also request asylum at the port of entry (POE) by informing an inspection officer that they are fleeing persecution or seeking asylum.,
227,Y13_1035,"Namely , the speaker ' s intention revealed in the tag is his/her attitude to the event <<< he/she >>> perceives when he/she is the audience .","Namely, the speaker's intention revealed in the tag is their attitude to the event they perceive when they are the audience.",
228,4009093,"This , in fact , is readily apparent in the student who seeks the mentorship of the teacher <<< he/she >>> trusts .","This, in fact, is readily apparent in the student who seeks the mentorship of the teacher they trust. ",
229,5092837,"Is it true that if a victim ""regains"" a pulse after doing CPR <<< he/she >>> has probably had a pulse all along?","Is it true that if a victim ""regains"" a pulse after doing CPR they have probably had a pulse all along?",
230,W00_1011,"However , when the user has difficulties , <<< he/she >>> tends to spend more time on thinking and asking for help .","However, when the user has difficulties, they tend to spend more time on thinking and asking for help.",
231,5078408,"The user just has to accept your design -- or leave it , just as <<< he/she >>> would have to accept your logo , your images , your text etc .","The user just has to accept your design—or leave it, just as they would have to accept your logo, your images, your text, etc .",
232,5109622,"I have a child, who I love, and who loves me, and impart my belief system upon him/her to the degree where <<< he/she >>> has my exact same beliefs (getting treatment for burns is against God).","I have a child, who I love, and who loves me, and impart my belief system upon them to the degree where they have my exact same beliefs (getting treatment for burns is against God).",
233,2020_lrec_1_32,"As the volunteer is provided with text to refer , <<< he/she >>> is not required to have any prior background knowledge about the temple .","As the volunteer is provided with text to refer to, they are not required to have any prior background knowledge about the temple.",
234,5149945,"There is also a long history of sports betting between mayors and governors when their respective teams are in championship competition (World Series, Super Bowl, NBA) and I do n't hear anyone calling this unethical or voting against the candidate in a subsequent election because <<< he/she >>> made such a bet.","There is also a long history of sports betting between mayors and governors when their respective teams are in championship competition (World Series, Super Bowl, NBA) and I don't hear anyone calling this unethical or voting against the candidate in a subsequent election because they made such a bet.",
235,5057287,I 've got not problem if the author wants to restrict his/her work for as long as <<< he/she >>> lives.,I've got no problem if the author wants to restrict their work for as long as they live.,
236,5141829,A beautiful human being makes a difference in every life <<< he/she >>> touches.,A beautiful human being makes a difference in every life they touch.,
237,5033645,"When you consult an attorney, ask him/her if <<< he/she >>> is experienced in bankruptcy.","When you consult an attorney, ask them if they are experienced in bankruptcy.",**
238,4005092,"Because the athlete/dancer is no longer able to train at a pre-injury level , <<< he/she >>> may feel ostracized from team members and experience physical symptoms such as restlessness , insomnia , loss of appetite , and fatigue ( Morgan , 1986 ) .","Because the athlete/dancer is no longer able to train at a pre-injury level, they may feel ostracized from team members and experience physical symptoms such as restlessness, insomnia, loss of appetite, and fatigue (Morgan, 1986).",
239,2021_konvens_1_20,This again points out that/IN <<< he/she >>> is in favor of liberalization .,This again points out that they are in favor of liberalization.,
240,5134970,"As a UK-born citizent and also resident there I can remember when, in a UK parliamentary election, a candidate was limited in what <<< he/she >>> could spend on their campaign -- not to mention the compulsory deposit, then 150 (forfeitable if a candidate did n't get at least 12.5% of the popular vote).","As a UK-born citizen and also resident there I can remember when, in a UK parliamentary election, a candidate was limited in what they could spend on their campaign—not to mention the compulsory deposit, then 150 (forfeitable if a candidate didn't get at least 12.5% of the popular vote).",
241,W97_1503,"These results can be obtained if , at any time , the user can select all and only the functionalities <<< he/she >>> actually needs .","These results can be obtained if, at any time, the user can select all and only the functionalities they actually need.",
242,5065262,At what point do you show up at parties by yourself and not tell people <<< he/she >>> is away at their college reunion or had to work or was home with the flu?,"At what point do you show up at parties by yourself and not tell people they are away at their college reunion, had to work, or were home with the flu?",
243,5164606,"I do n't know whose idea this was, but <<< he/she >>> needs a raise.","I don't know whose idea this was, but they need a raise.",
244,P06_2099,"When a user does not understand a certain cooking action , <<< he/she >>> can click the highlighted sentence/phrase .","When a user does not understand a certain cooking action, they can click the highlighted sentence/phrase.",
245,4019815, A child may be able to read a library book after <<< he/she >>> has listened to the same contents on a computer disk ., A child may be able to read a library book after they have listened to the same contents on a computer disk.,
246,2022_findings_acl_83,"The label ' 5 ' was given for instances were the post writer specifically mentioned that/IN <<< he/she >>> was diagnosed with a specific illness , was taking specific medication , had undergone surgery or was about to have one , or other cases of disclosing specific medical indicators .","The label '5' was given for instances were the post writer specifically mentioned that they were diagnosed with a specific illness, were taking specific medication, had undergone surgery or were about to have one, or other cases of disclosing specific medical indicators.",
247,5036692,"Your puppy will be sleeping a lot of the day because <<< he/she >>> is still very young but, it is good to have something to entertain them threw out the day.","Your puppy will be sleeping a lot of the day because they are still very young, but it is good to have something to entertain them throughout the day.",
248,2020_sigdial_1_11,"While there are differences , a user behaves consistently when <<< he/she >>> is chatting with a human , similarly they are consistent when chatting with an IVA .","While there are differences, a user behaves consistently when they are chatting with a human, similarly they are consistent when chatting with an IVA.",
249,4015176,At its heart is a decision to provide the customer with what <<< he/she >>> perceives as suitable to his/her needs rather than what we think they should purchase.,At its heart is a decision to provide the customer with what they perceive as suitable to their needs rather than what we think they should purchase.,
250,N16_1166,"For each speaker in a debate , we computed the number of i ) applauses ( APL ) ; ii ) booings ( BOO ) ; iii ) laughs ( LAU ) ; and iv ) crosstalks ( CRO ) <<< he/she >>> received during his/her participation on a debate . ","For each speaker in a debate, we computed the number of i) applauses (APL); ii) booings (BOO); iii) laughs (LAU); and iv) crosstalks (CRO) they received during their participation on a debate.",
251,J86_2002,"Finally , if the student has value U. K. , France , etc. for NATIONALITY , <<< he/she >>> may be considered to be from Europe .","Finally, if the student has value U.K., France, etc. for NATIONALITY, they may be considered to be from Europe.",
252,W15_4657,"In the following we describe the tasks 1 , 4 and 5 exemplarily : In task 1 , the imaginary user tells the system that/IN <<< he/she >>> wants to listen to a certain radio station .","In the following we describe the tasks 1, 4 and 5 exemplarily: In task 1, the imaginary user tells the system that they want to listen to a certain radio station.",
